epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1016.17,1.52335,5.32575,1.08683,0.60608,0.43926,0.49451,0.24779,1.52929,3.81286,1.09228,0.000369562,0.000369562,0.000369562
2,1090.74,1.51089,4.38242,1.0865,0.57175,0.4722,0.4967,0.26522,1.42334,3.69272,1.08394,0.000729431,0.000729431,0.000729431
3,1150.51,1.52256,4.2688,1.08672,0.5983,0.49201,0.52649,0.27519,1.40773,3.64489,1.08243,0.00107882,0.00107882,0.00107882
4,1209.7,1.49887,4.12298,1.08108,0.59174,0.49275,0.52957,0.26919,1.45332,3.65654,1.08451,0.00106386,0.00106386,0.00106386
5,1267.7,1.46729,3.96271,1.06563,0.63733,0.5435,0.58769,0.3213,1.40092,3.32318,1.05872,0.00104815,0.00104815,0.00104815
6,1327.63,1.4588,3.88255,1.05796,0.62805,0.51318,0.57039,0.30883,1.44505,3.68081,1.07854,0.00103244,0.00103244,0.00103244
7,1385.66,1.42748,3.75801,1.05111,0.63953,0.54063,0.58781,0.31994,1.39973,3.33664,1.0607,0.00101672,0.00101672,0.00101672
8,1443.96,1.42411,3.69109,1.04925,0.6682,0.56366,0.63075,0.35776,1.35528,3.10283,1.04495,0.00100101,0.00100101,0.00100101
9,1503.54,1.41028,3.62247,1.04238,0.62577,0.57533,0.61854,0.33263,1.39938,3.1426,1.05267,0.000985298,0.000985298,0.000985298
10,1561.34,1.4007,3.53046,1.03431,0.64829,0.57839,0.61981,0.35173,1.32748,3.08087,1.03387,0.000969586,0.000969586,0.000969586
11,1619.37,1.39641,3.52199,1.03242,0.66968,0.58982,0.63774,0.35697,1.35407,3.0454,1.03736,0.000953873,0.000953873,0.000953873
12,1677.08,1.38401,3.48476,1.02977,0.67623,0.59764,0.64626,0.3676,1.31245,2.98011,1.02461,0.00093816,0.00093816,0.00093816
13,1736.82,1.36592,3.38487,1.02278,0.69364,0.59318,0.65957,0.36741,1.34032,3.01044,1.0328,0.000922447,0.000922447,0.000922447
14,1795,1.35519,3.36442,1.01897,0.66756,0.64123,0.66417,0.38146,1.29637,2.9283,1.0219,0.000906735,0.000906735,0.000906735
15,1854.88,1.35556,3.33851,1.01893,0.7018,0.61169,0.66268,0.38064,1.29514,2.91395,1.01842,0.000891022,0.000891022,0.000891022
